CODIGO;NOMBRE;Impuesto;grupo;TCPROM_INV_Sin_Iva;TCPROM_INV;ULT_PRE_COMPRA_Sin_Iva;ULT_PRE_COMPRA;PRECIO_1_Sin_Iva;PRECIO_2_Sin_Iva;PRECIO_3_Sin_Iva;PRECIO_4_Sin_Iva;PRECIO_5_Sin_Iva;PRECIO_6_Sin_Iva;PRECIO_1;PRECIO_2;PRECIO_3;PRECIO_4;PRECIO_5;PRECIO_6;UBICACION;Estado_Plu;Referencia;SubcategoriaCD;Subcategoria;CategoriaCD;Categoria;LineaCD;Linea;Marca;Cumulative Count
Z001;BORRADO*;0.0000;0;0;0;;;;;;;;;;;;;;;;INACTIVO;;;;;;;;;1
A7511;GORRO SATIN;19.0000;01;0;0;;;6050.42016807;7142.85714286;4537.81512605;;;;7200.0000;8500.0000;5400.0000;;;;;INACTIVO;;;;;;;;;1
9999;KIT PESTAÑINA RUBY ROSE X 3;19.0000;01;15126;18000;15126;18000;22436.97478992;22436.97478992;15126.05042017;;;;26700.0000;26700.0000;18000.0000;;;;;ACTIVO;;;;;;;;;1
9998;PESTAÑAS PUNTO A PUNTO BEAUTY IDOL 892611 OFERTA X 3;19.0000;01;14705;17499;14705;17499;20168.06722689;20168.06722689;14705.88235294;;;;24000.0000;24000.0000;17500.0000;;;;;ACTIVO;;;;;;;;;1
9997;PESTAÑAS ENTERAS BEAUTY IDOL 892581 OFERTA X 3;19.0000;01;14831;17649;14831;17649;20168.06722689;20168.06722689;14831.09243697;;;;24000.0000;24000.0000;17649.0000;;;;;ACTIVO;;;;;;;;;1
9996;SERUM ALMA BEAUTY RETINOL X 30 ml ABS-003 OFERTA X 3;19.0000;01;5357;6375;5357;6375;8823.52941176;8823.52941176;5357.14285714;;;;10500.0000;10500.0000;6375.0000;;;;;INACTIVO;;;;;;;;;1
9995;SERUM ALMA BEAUTY NIACINAMIDA X 30 ml ABS-002 OFERTA X 3;19.0000;01;5357;6375;5357;6375;8823.52941176;8823.52941176;5357.14285714;;;;10500.0000;10500.0000;6375.0000;;;;;INACTIVO;;;;;;;;;1
9994;SERUM ALMA BEAUTY VITAMINA C X 30 ml ABS-004 OFERTA X 3;19.0000;01;5357;6375;5357;6375;8823.52941176;8823.52941176;5357.14285714;;;;10500.0000;10500.0000;6375.0000;;;;;ACTIVO;;;;;;;;;1
9993;SERUM ALMA BEAUTY ACIDO HIALURONICO X 30 ml ABS-001 OFERTA;19.0000;01;5357;6375;5357;6375;8823.52941176;8823.52941176;5357.14285714;;;;10500.0000;10500.0000;6375.0000;;;;;INACTIVO;;;;;;;;;1
9992;RUBOR CREMOSO POLA AYLR PE2803 OFERTA X 3;19.0000;01;5447;6482;5447;6482;10084.03361345;10084.03361345;5447.89915966;;;;12000.0000;12000.0000;6483.0000;;;;;ACTIVO;;;;;;;;;1
9991;CEPI ORO PANTERA NEGRA BLISTER;19.0000;01;2098;2496;2116;2518;2436.97478992;2941.17647059;2115.96638655;;;;2900.0000;3500.0000;2518.0000;;;;;ACTIVO;;;;;;;;;1
9990;PESTAÑINA IVOONA MS04 OFERTA X 3;19.0000;01;9847;11718;9847;11718;15126.05042017;15126.05042017;9847.05882353;;;;18000.0000;18000.0000;11718.0000;;;;;ACTIVO;;;;;;;;;1
9989;DELINEADOR PLUMON IVOONA EL10  OFERTA X 3;19.0000;01;7512;8939;7512;8939;12605.04201681;12605.04201681;7512.60504202;;;;15000.0000;15000.0000;8940.0000;;;;;ACTIVO;;;;;;;;;1
9988;BRILLO LABIAL LIQUIDO MISS BETTY L3402 OFERTA X 3;19.0000;01;2650;3154;2650;3154;7563.02521008;7563.02521008;2649.57983193;;;;9000.0000;9000.0000;3153.0000;;;;;ACTIVO;;;;;;;;;1
9987;RUBOR LIQUIDO YABA LIAN Y91 OFERTA X 3;19.0000;01;5664;6740;5664;6740;8319.32773109;8319.32773109;5664.70588235;;;;9900.0000;9900.0000;6741.0000;;;;;ACTIVO;;;;;;;;;1
9986;RUBOR EN CREMA YABAOLIAN Y45 OFERTA X 3;19.0000;01;5470;6509;5470;6509;10084.03361345;10084.03361345;5470.58823529;;;;12000.0000;12000.0000;6510.0000;;;;;ACTIVO;;;;;;;;;1
9985;LABIAL MAGICO 3Q BEAUTY LS225  OFERTA X 3;19.0000;01;3091;3678;3091;3678;5042.01680672;5882.35294118;3090.75630252;;;;6000.0000;7000.0000;3678.0000;;;;;ACTIVO;;;;;;;;;1
9984;BRILLO MAGICO QEARLYA QE7196-A  OFERTA X 3;19.0000;01;2950;3510;2950;3510;7058.82352941;7058.82352941;2949.57983193;;;;8400.0000;8400.0000;3510.0000;;;;;ACTIVO;;;;;;;;;1
9983;LABIAL LIQUIDO MISS BEAUTY 2335 OFERTA X 3;19.0000;01;3000;3570;3000;3570;8319.32773109;8319.32773109;3000.00000000;;;;9900.0000;9900.0000;3570.0000;;;;;ACTIVO;;;;;;;;;1
9982;BASE LIQUIDA IVOONA FO46 DIS X 12 OFERTA X 3;19.0000;01;12960;15422;12960;15422;20168.06722689;20168.06722689;12960.50420168;;;;24000.0000;24000.0000;15423.0000;;;;;ACTIVO;;;;;;;;;1
9981;RUBOR LIQUIDO CHEEK KISS Y96 OFERTA X 3;19.0000;01;4187;4983;4187;4983;7563.02521008;7563.02521008;4187.39495798;;;;9000.0000;9000.0000;4983.0000;;;;;ACTIVO;;;;;;;;;1
9980;RUBOR EN BARRA DAWANG ROSE DR-B001 OFERTA X 3;19.0000;01;8357;9945;8357;9945;15126.05042017;15126.05042017;8357.14285714;;;;18000.0000;18000.0000;9945.0000;;;;;ACTIVO;;;;;;;;;1
9979;PESTAÑA LUFORCKY FALSEEYELASHES X 4 R 50056 OFERTA X 3;19.0000;01;12746;15168;12746;15168;22689.07563025;22689.07563025;12746.21848739;;;;27000.0000;27000.0000;15168.0000;;;;;ACTIVO;;;;;;;;;1
9978;CORRECTOR LIQUIDO BONSHIK BS87 OFERTA X 3;19.0000;0;10026;11931;10026;11931;10840.33613445;10840.33613445;10126.05042017;;;;12900.0000;12900.0000;12050.0000;;;;;ACTIVO;;;;;;;;;1
9977;KIT MANTEQUILLA VIVE BEAUTY OFERTA X 3;19.0000;01;23550;28025;23550;28025;30252.10084034;30252.10084034;19159.66386555;;;;36000.0000;36000.0000;22800.0000;;;;;ACTIVO;;;;;;;;;1
9976;ANTI FRIZZ EN BARRA CAPILAR OLE X 50 ml CASTAÑO OSCURO;19.0000;38;18510;22027;18510;22027;24369.74789916;26050.42016807;18510.08403361;;;;29000.0000;31000.0000;22027.0000;;;;;ACTIVO;;;;;;;;;1
9975;GUILLOTINA BEAUTY TOOLS 313046 OFERTA X 3;19.0000;0;7147;8505;7147;8505;13865.54621849;13865.54621849;7147.05882353;;;;16500.0000;16500.0000;8505.0000;;;;;ACTIVO;;;;;;;;;1
9974;PINCELES PARA DECORAR X 12 BEAUTY REF 330180 OFERTA X 3;19.0000;01;10669;12696;10669;12696;20168.06722689;20168.06722689;10668.90756303;;;;24000.0000;24000.0000;12696.0000;;;;;ACTIVO;;;;;;;;;1
9973;PINCELES PARA UÑAS X 5 BEAUTY REF 330387-1 OFERTA X 3;19.0000;01;12277;14610;12277;14610;20168.06722689;20168.06722689;12277.31092437;;;;24000.0000;24000.0000;14610.0000;;;;;ACTIVO;;;;;;;;;1
9972;FIJADOR DE MAQUILLAJE BONSHIK BS-S01;19.0000;34;6353;7560;6353;7560;8403.36134454;9243.69747899;6352.94117647;;;;10000.0000;11000.0000;7560.0000;;;;;ACTIVO;;;;;;;;;1
9971;SERUM ALMA BEAUTY NIACINAMIDA X 30 ml ABS-002;19.0000;04;1786;2125;1786;2125;4621.84873950;5462.18487395;1785.71428571;;;;5500.0000;6500.0000;2125.0000;;;;;ACTIVO;;;;;;;;;1
9970;SERUM ALMA BEAUTY ACIDO HIALURONICO X 30 ml ABS-001;19.0000;04;1786;2125;1786;2125;4621.84873950;5462.18487395;1785.71428571;;;;5500.0000;6500.0000;2125.0000;;;;;ACTIVO;;;;;;;;;1
9969;SERUM ALMA BEAUTY RETINOL X 30 ml ABS-003;19.0000;04;1786;2125;1786;2125;4621.84873950;5462.18487395;1785.71428571;;;;5500.0000;6500.0000;2125.0000;;;;;ACTIVO;;;;;;;;;1
9968;SERUM ALMA BEAUTY VITAMINA C X 30 ml ABS-004;19.0000;04;1786;2125;1786;2125;4621.84873950;5462.18487395;1785.71428571;;;;5500.0000;6500.0000;2125.0000;;;;;ACTIVO;;;;;;;;;1
